booking_id,customer_id,booking_date,departure_date,origin,destination,route,booking_channel,trip_type,customer_type,loyalty_tier,passengers,base_fare_sar,ancillary_revenue_sar,total_revenue_sar,lead_time_days,repeat_customer,lead_time_band
B00073,C0289,2025-07-29,2025-10-07,TBS,RUH,TBS-RUH,Mobile App,Return,Visiting friends and relatives,No membership,3,2174,317,2491,70,No,46–90 days
B00074,C0152,2025-09-01,2025-10-31,RUH,DXB,RUH-DXB,Mobile App,One-way,Leisure,Basic,2,992,131,1123,60,Yes,46–90 days
B00075,C0267,2025-03-08,2025-04-02,RUH,IST,RUH-IST,Website,Return,Visiting friends and relatives,Silver,1,859,141,1000,25,Yes,22–45 days
B00076,C0240,2025-11-21,2025-11-27,DMM,JED,DMM-JED,Website,One-way,Leisure,Gold,1,372,87,459,6,Yes,1–7 days
B00077,C0172,2025-01-14,2025-03-03,JED,RUH,JED-RUH,Mobile App,One-way,Leisure,No membership,1,238,76,314,48,No,46–90 days
B00078,C0066,2025-03-28,2025-04-04,JED,DMM,JED-DMM,Website,One-way,Visiting friends and relatives,No membership,2,730,145,875,7,Yes,1–7 days
B00079,C0013,2025-09-26,2025-12-10,RUH,JED,RUH-JED,Online Travel Agency,Return,Leisure,Gold,1,259,85,344,75,Yes,46–90 days
B00080,C0233,2025-01-08,2025-02-13,CAI,JED,CAI-JED,Mobile App,One-way,Business,Basic,2,1284,93,1377,36,Yes,22–45 days
B00081,C0020,2025-03-03,2025-05-28,RUH,TBS,RUH-TBS,Website,Return,Leisure,Silver,1,724,104,828,86,Yes,46–90 days
B00082,C0259,2025-03-05,2025-04-02,RUH,DXB,RUH-DXB,Mobile App,Return,Visiting friends and relatives,Silver,2,947,192,1139,28,Yes,22–45 days
B00083,C0065,2025-09-22,2025-11-02,JED,CAI,JED-CAI,Mobile App,One-way,Business,No membership,2,1305,165,1470,41,Yes,22–45 days
B00084,C0109,2025-09-17,2025-12-13,IST,RUH,IST-RUH,Website,Return,Leisure,No membership,1,774,54,828,87,Yes,46–90 days
B00085,C0042,2025-07-01,2025-09-17,RUH,IST,RUH-IST,Mobile App,One-way,Visiting friends and relatives,Basic,3,2570,454,3024,78,Yes,46–90 days
B00086,C0016,2025-12-16,2026-02-28,CAI,JED,CAI-JED,Travel Agent,Return,Leisure,Silver,3,2034,167,2201,74,Yes,46–90 days
B00087,C0203,2025-11-04,2025-11-28,TBS,RUH,TBS-RUH,Website,Return,Visiting friends and relatives,Basic,2,1347,265,1612,24,Yes,22–45 days
B00088,C0047,2025-07-31,2025-10-16,RUH,IST,RUH-IST,Online Travel Agency,Return,Business,Basic,2,1521,164,1685,77,Yes,46–90 days
B00089,C0144,2025-03-16,2025-05-12,TBS,RUH,TBS-RUH,Mobile App,One-way,Business,No membership,1,712,52,764,57,Yes,46–90 days
B00090,C0177,2025-09-09,2025-12-04,JED,DMM,JED-DMM,Website,Return,Leisure,Silver,3,870,230,1100,86,Yes,46–90 days
B00091,C0324,2025-02-13,2025-05-09,RUH,IST,RUH-IST,Website,Return,Leisure,Basic,3,2524,233,2757,85,Yes,46–90 days
B00092,C0021,2025-01-31,2025-04-19,JED,DMM,JED-DMM,Website,One-way,Leisure,Gold,1,297,81,378,78,Yes,46–90 days
B00093,C0220,2025-07-02,2025-08-28,DXB,RUH,DXB-RUH,Website,One-way,Leisure,Basic,4,1896,371,2267,57,Yes,46–90 days
B00094,C0276,2025-05-07,2025-07-20,DMM,JED,DMM-JED,Travel Agent,One-way,Visiting friends and relatives,Basic,1,289,67,356,74,Yes,46–90 days
B00095,C0183,2025-11-09,2026-01-12,JED,RUH,JED-RUH,Website,One-way,Leisure,Basic,1,288,76,364,64,Yes,46–90 days
B00096,C0121,2025-12-15,2025-12-22,TBS,RUH,TBS-RUH,Website,One-way,Business,No membership,1,1005,78,1083,7,Yes,1–7 days
B00097,C0050,2025-12-28,2026-02-16,TBS,RUH,TBS-RUH,Mobile App,One-way,Leisure,Basic,2,1366,161,1527,50,Yes,46–90 days
B00098,C0013,2025-03-11,2025-05-05,TBS,RUH,TBS-RUH,Online Travel Agency,One-way,Leisure,No membership,1,771,98,869,55,Yes,46–90 days
B00099,C0042,2025-10-23,2025-12-20,JED,RUH,JED-RUH,Website,Return,Visiting friends and relatives,No membership,2,505,292,797,58,Yes,46–90 days
B00100,C0085,2025-10-14,2025-11-18,JED,CAI,JED-CAI,Website,One-way,Visiting friends and relatives,Gold,2,1270,182,1452,35,Yes,22–45 days
B00101,C0092,2025-06-11,2025-08-29,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,Basic,1,763,120,883,79,Yes,46–90 days
B00102,C0049,2025-03-16,2025-04-19,JED,DMM,JED-DMM,Online Travel Agency,One-way,Leisure,Basic,1,317,64,381,34,Yes,22–45 days
B00103,C0147,2025-07-27,2025-08-04,IST,RUH,IST-RUH,Website,One-way,Visiting friends and relatives,Basic,3,2661,252,2913,8,Yes,8–21 days
B00104,C0303,2025-06-12,2025-08-15,JED,DMM,JED-DMM,Website,One-way,Visiting friends and relatives,Basic,1,284,130,414,64,Yes,46–90 days
B00105,C0037,2025-05-21,2025-08-09,RUH,TBS,RUH-TBS,Website,One-way,Visiting friends and relatives,Basic,1,663,125,788,80,Yes,46–90 days
B00106,C0117,2025-10-17,2025-10-27,RUH,TBS,RUH-TBS,Website,Return,Leisure,Basic,1,879,110,989,10,Yes,8–21 days
B00107,C0197,2025-04-04,2025-05-27,TBS,RUH,TBS-RUH,Mobile App,One-way,Visiting friends and relatives,Basic,1,715,75,790,53,Yes,46–90 days
B00108,C0016,2025-03-10,2025-03-31,IST,RUH,IST-RUH,Mobile App,One-way,Business,Silver,4,3981,334,4315,21,Yes,8–21 days
B00109,C0113,2025-10-17,2025-11-08,RUH,JED,RUH-JED,Mobile App,One-way,Leisure,No membership,2,497,173,670,22,Yes,22–45 days
B00110,C0066,2025-02-04,2025-04-18,JED,CAI,JED-CAI,Website,One-way,Leisure,No membership,4,2326,336,2662,73,Yes,46–90 days
B00111,C0067,2025-11-21,2025-11-22,RUH,TBS,RUH-TBS,Website,Return,Visiting friends and relatives,Basic,2,1923,180,2103,1,Yes,1–7 days
B00112,C0039,2025-06-15,2025-07-09,JED,DMM,JED-DMM,Mobile App,One-way,Leisure,Silver,4,1060,482,1542,24,Yes,22–45 days
B00113,C0001,2025-05-09,2025-06-20,RUH,IST,RUH-IST,Online Travel Agency,One-way,Visiting friends and relatives,No membership,1,888,63,951,42,Yes,22–45 days
B00114,C0026,2025-08-23,2025-09-17,RUH,IST,RUH-IST,Online Travel Agency,One-way,Leisure,No membership,1,762,59,821,25,Yes,22–45 days
B00115,C0136,2025-01-10,2025-03-20,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,No membership,1,831,87,918,69,Yes,46–90 days
B00116,C0258,2025-08-24,2025-10-28,RUH,IST,RUH-IST,Mobile App,Return,Leisure,Basic,2,1612,195,1807,65,Yes,46–90 days
B00117,C0217,2025-01-01,2025-03-13,RUH,IST,RUH-IST,Website,Return,Business,Basic,4,3453,309,3762,71,Yes,46–90 days
B00118,C0202,2025-04-07,2025-05-22,JED,CAI,JED-CAI,Website,Return,Leisure,Basic,1,583,72,655,45,Yes,22–45 days
B00119,C0015,2025-07-14,2025-08-19,RUH,TBS,RUH-TBS,Website,One-way,Leisure,Silver,1,756,61,817,36,Yes,22–45 days
B00120,C0083,2025-07-04,2025-07-14,IST,RUH,IST-RUH,Website,Return,Visiting friends and relatives,Basic,1,930,93,1023,10,Yes,8–21 days
B00121,C0312,2025-10-14,2025-11-11,JED,CAI,JED-CAI,Mobile App,One-way,Leisure,Basic,1,657,117,774,28,Yes,22–45 days
B00122,C0258,2025-05-19,2025-08-11,JED,CAI,JED-CAI,Website,Return,Leisure,Basic,2,1149,101,1250,84,Yes,46–90 days
B00123,C0133,2025-08-16,2025-10-28,CAI,JED,CAI-JED,Mobile App,One-way,Visiting friends and relatives,No membership,1,650,102,752,73,Yes,46–90 days
B00124,C0189,2025-10-13,2025-12-02,DXB,RUH,DXB-RUH,Mobile App,One-way,Leisure,Silver,3,1475,364,1839,50,Yes,46–90 days
B00125,C0215,2025-03-18,2025-04-17,TBS,RUH,TBS-RUH,Travel Agent,Return,Leisure,Basic,2,1634,219,1853,30,Yes,22–45 days
B00126,C0323,2025-02-24,2025-03-19,JED,CAI,JED-CAI,Website,One-way,Visiting friends and relatives,Basic,1,615,133,748,23,Yes,22–45 days
B00127,C0177,2025-06-28,2025-09-12,RUH,TBS,RUH-TBS,Online Travel Agency,One-way,Visiting friends and relatives,Silver,1,763,148,911,76,Yes,46–90 days
B00128,C0008,2025-04-28,2025-06-05,CAI,JED,CAI-JED,Mobile App,Return,Leisure,No membership,1,657,72,729,38,Yes,22–45 days
B00129,C0252,2025-08-14,2025-09-08,JED,RUH,JED-RUH,Website,Return,Leisure,Basic,2,539,252,791,25,Yes,22–45 days
B00130,C0072,2025-02-23,2025-03-05,JED,DMM,JED-DMM,Website,Return,Visiting friends and relatives,No membership,1,301,145,446,10,Yes,8–21 days
B00131,C0014,2025-02-20,2025-03-22,CAI,JED,CAI-JED,Mobile App,Return,Business,No membership,2,1178,168,1346,30,Yes,22–45 days
B00132,C0062,2025-11-04,2025-12-05,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,Silver,1,740,65,805,31,Yes,22–45 days
B00133,C0046,2025-04-15,2025-06-24,RUH,TBS,RUH-TBS,Mobile App,One-way,Business,Basic,2,1431,128,1559,70,Yes,46–90 days
B00134,C0087,2025-06-02,2025-06-06,RUH,JED,RUH-JED,Website,Return,Leisure,No membership,1,334,70,404,4,Yes,1–7 days
B00135,C0222,2025-05-01,2025-06-04,JED,CAI,JED-CAI,Online Travel Agency,Return,Business,Basic,2,1384,75,1459,34,Yes,22–45 days
B00136,C0112,2025-12-08,2026-02-24,JED,CAI,JED-CAI,Website,Return,Visiting friends and relatives,Basic,4,2334,355,2689,78,Yes,46–90 days
B00137,C0250,2025-04-08,2025-06-04,RUH,DXB,RUH-DXB,Website,One-way,Leisure,No membership,1,539,87,626,57,No,46–90 days
B00138,C0064,2025-09-13,2025-10-14,JED,DMM,JED-DMM,Mobile App,One-way,Leisure,Basic,1,319,73,392,31,Yes,22–45 days
B00139,C0226,2025-10-16,2025-10-20,CAI,JED,CAI-JED,Online Travel Agency,One-way,Leisure,No membership,4,3229,264,3493,4,Yes,1–7 days
B00140,C0318,2025-05-20,2025-07-17,RUH,TBS,RUH-TBS,Website,Return,Visiting friends and relatives,No membership,2,1507,146,1653,58,No,46–90 days
B00141,C0172,2025-01-01,2025-01-02,JED,CAI,JED-CAI,Mobile App,Return,Leisure,Silver,1,828,137,965,1,Yes,1–7 days
B00142,C0020,2025-11-24,2026-02-22,RUH,IST,RUH-IST,Website,Return,Leisure,No membership,1,765,119,884,90,Yes,46–90 days
B00143,C0027,2025-11-15,2026-01-21,RUH,JED,RUH-JED,Website,Return,Visiting friends and relatives,Silver,1,285,77,362,67,Yes,46–90 days
B00144,C0044,2025-03-11,2025-05-31,DMM,JED,DMM-JED,Mobile App,One-way,Leisure,Basic,1,280,117,397,81,Yes,46–90 days
B00145,C0284,2025-03-04,2025-05-29,JED,RUH,JED-RUH,Mobile App,One-way,Visiting friends and relatives,Basic,1,234,90,324,86,Yes,46–90 days
B00146,C0239,2025-03-02,2025-05-13,RUH,IST,RUH-IST,Website,One-way,Leisure,Silver,2,1652,273,1925,72,Yes,46–90 days
B00147,C0049,2025-01-15,2025-03-28,RUH,JED,RUH-JED,Online Travel Agency,Return,Visiting friends and relatives,No membership,2,524,256,780,72,Yes,46–90 days
B00148,C0212,2025-06-11,2025-06-21,RUH,TBS,RUH-TBS,Mobile App,Return,Visiting friends and relatives,Basic,1,828,105,933,10,Yes,8–21 days
B00149,C0238,2025-06-30,2025-09-24,JED,CAI,JED-CAI,Mobile App,One-way,Leisure,Silver,1,574,94,668,86,Yes,46–90 days
B00150,C0236,2025-04-04,2025-05-20,JED,CAI,JED-CAI,Website,One-way,Leisure,Basic,1,588,57,645,46,Yes,46–90 days
B00151,C0199,2025-05-22,2025-06-08,CAI,JED,CAI-JED,Mobile App,Return,Visiting friends and relatives,No membership,1,703,73,776,17,Yes,8–21 days
B00152,C0087,2025-02-14,2025-03-05,RUH,DXB,RUH-DXB,Online Travel Agency,Return,Leisure,Basic,3,1723,333,2056,19,Yes,8–21 days
B00153,C0288,2025-01-31,2025-03-31,DXB,RUH,DXB-RUH,Website,Return,Visiting friends and relatives,No membership,1,507,134,641,59,No,46–90 days
B00154,C0223,2025-01-21,2025-01-25,RUH,JED,RUH-JED,Website,One-way,Visiting friends and relatives,Silver,2,621,183,804,4,Yes,1–7 days
B00155,C0257,2025-10-04,2025-10-20,CAI,JED,CAI-JED,Online Travel Agency,One-way,Leisure,Basic,1,687,74,761,16,Yes,8–21 days
B00156,C0112,2025-03-21,2025-03-27,RUH,IST,RUH-IST,Online Travel Agency,Return,Business,Basic,2,1944,117,2061,6,Yes,1–7 days
B00157,C0038,2025-01-04,2025-03-14,JED,RUH,JED-RUH,Online Travel Agency,Return,Business,Basic,1,269,63,332,69,Yes,46–90 days
B00158,C0206,2025-06-29,2025-09-02,JED,CAI,JED-CAI,Travel Agent,One-way,Leisure,Basic,1,588,94,682,65,Yes,46–90 days
B00159,C0234,2025-03-24,2025-05-25,TBS,RUH,TBS-RUH,Online Travel Agency,Return,Business,No membership,1,802,55,857,62,Yes,46–90 days
B00160,C0223,2025-11-05,2025-12-13,CAI,JED,CAI-JED,Website,Return,Leisure,Basic,1,608,61,669,38,Yes,22–45 days
B00161,C0060,2025-06-01,2025-07-09,DMM,JED,DMM-JED,Website,Return,Visiting friends and relatives,Basic,1,308,147,455,38,Yes,22–45 days
B00162,C0320,2025-08-14,2025-09-02,RUH,TBS,RUH-TBS,Online Travel Agency,Return,Leisure,Gold,2,1746,290,2036,19,Yes,8–21 days
B00163,C0078,2025-01-14,2025-02-12,JED,CAI,JED-CAI,Mobile App,Return,Visiting friends and relatives,Silver,2,1219,289,1508,29,Yes,22–45 days
B00164,C0137,2025-07-15,2025-08-25,RUH,DXB,RUH-DXB,Online Travel Agency,Return,Visiting friends and relatives,No membership,1,471,78,549,41,Yes,22–45 days
B00165,C0043,2025-05-09,2025-05-27,JED,RUH,JED-RUH,Website,Return,Leisure,Basic,3,961,286,1247,18,Yes,8–21 days
B00166,C0172,2025-05-18,2025-05-21,JED,CAI,JED-CAI,Travel Agent,One-way,Visiting friends and relatives,No membership,2,1815,117,1932,3,No,1–7 days
B00167,C0084,2025-09-14,2025-10-29,CAI,JED,CAI-JED,Travel Agent,Return,Visiting friends and relatives,No membership,2,1340,128,1468,45,Yes,22–45 days
B00168,C0025,2025-07-03,2025-07-06,RUH,DXB,RUH-DXB,Website,Return,Leisure,No membership,1,598,69,667,3,Yes,1–7 days
B00169,C0088,2025-12-18,2026-01-06,TBS,RUH,TBS-RUH,Mobile App,One-way,Business,Silver,3,2459,134,2593,19,Yes,8–21 days
B00170,C0323,2025-03-23,2025-06-03,JED,DMM,JED-DMM,Online Travel Agency,Return,Leisure,Silver,2,643,153,796,72,Yes,46–90 days
B00171,C0266,2025-10-18,2025-11-12,JED,CAI,JED-CAI,Website,One-way,Leisure,Basic,1,616,122,738,25,Yes,22–45 days
B00172,C0299,2025-02-10,2025-02-14,RUH,DXB,RUH-DXB,Mobile App,Return,Leisure,Silver,1,612,56,668,4,Yes,1–7 days
B00173,C0330,2025-04-27,2025-06-04,JED,CAI,JED-CAI,Mobile App,Return,Business,No membership,1,622,85,707,38,Yes,22–45 days
B00174,C0131,2025-01-15,2025-03-17,DMM,JED,DMM-JED,Online Travel Agency,One-way,Visiting friends and relatives,Basic,1,277,137,414,61,Yes,46–90 days
B00175,C0279,2025-11-14,2025-12-11,CAI,JED,CAI-JED,Website,Return,Leisure,Gold,1,567,60,627,27,Yes,22–45 days
B00176,C0174,2025-10-12,2025-11-27,RUH,IST,RUH-IST,Website,Return,Leisure,Basic,2,1468,136,1604,46,Yes,46–90 days
B00177,C0098,2025-10-06,2025-10-23,JED,CAI,JED-CAI,Mobile App,Return,Business,Basic,1,666,74,740,17,Yes,8–21 days
B00178,C0117,2025-10-31,2025-11-20,RUH,TBS,RUH-TBS,Website,One-way,Visiting friends and relatives,Basic,1,751,75,826,20,Yes,8–21 days
B00179,C0242,2025-07-07,2025-09-12,JED,DMM,JED-DMM,Mobile App,Return,Business,Basic,3,872,161,1033,67,Yes,46–90 days
